FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Photo,Photo,User,TRUE,,,,,
Photo.PhotoId,PhotoId,,TRUE,,GUID,,,
Photo.Name,Name,,TRUE,,TEXT,50,,
Photo.Description,Description,,TRUE,,TEXT,500,,
User,User,,TRUE,,,,,
User.UserId,UserId,,TRUE,,GUID,,,
User.Name,Name,,TRUE,,TEXT,50,,
User.Description,Description,,TRUE,,TEXT,500,,
Rating,Rating,Photo,TRUE,,,,,
Rating.RatingId,RatingId,,TRUE,,GUID,,,
Rating.Name,Name,,TRUE,,TEXT,50,,
Rating.Description,Description,,TRUE,,TEXT,500,,
App,App,,TRUE,,,,,
App.AppId,AppId,,TRUE,,GUID,,,
App.Name,Name,,TRUE,,TEXT,50,,
App.Description,Description,,TRUE,,TEXT,500,,
